edicao	ficha_about.FormCreate	1
edicao	ficha_creditos_equipo.FormCreate	1
edicao	ficha_dorsal.FormCreate	1
edicao	ficha_enlaza.FormCreate	1
edicao	ficha_info2.FormCreate	1
edicao	ficha_info3.FormCreate	1
edicao	ficha_info4.FormCreate	1
edicao	ficha_info.FormCreate	1
edicao	ficha_movertodos.FormCreate	1
edicao	ficha_salida.FormCreate	1
edicao	ficha_warning_2.FormCreate	1
edicao	ficha_warning.FormCreate	1
edicao	jugador.FormCreate	1
edicao	MainForm.FormCreate	1
edicao	MainForm.FormShow	1
edicao	MainForm.lista_equiposChange	3
edicao	MainForm.sel_barraClick	1
edicao	MainForm.track_barraChange	5
nomes	ficha_about.FormCreate	1
nomes	ficha_creditos_equipo.FormCreate	1
nomes	ficha_dorsal.FormCreate	1
nomes	ficha_enlaza.FormCreate	1
nomes	ficha_info2.FormCreate	1
nomes	ficha_info3.FormCreate	1
nomes	ficha_info4.FormCreate	1
nomes	ficha_info.FormCreate	1
nomes	ficha_movertodos.FormCreate	1
nomes	ficha_salida.FormCreate	1
nomes	ficha_warning_2.FormCreate	1
nomes	ficha_warning.FormCreate	1
nomes	jugador.FormCreate	1
nomes	MainForm.edit_nombre1KeyPress	12
nomes	MainForm.edit_nombre2KeyPress	12
nomes	MainForm.edit_nombre3KeyPress	11
nomes	MainForm.FormCreate	1
nomes	MainForm.FormShow	1
nomes	MainForm.lista_equiposChange	3
nomes	MainForm.track_barraChange	3
