endereco	handler	formulario	componente	evento	grupo	regra	nota
0x0040d43c	iguala_nombresClick	MainForm	iguala_nombres	OnClick	edicao	R8	
0x0040d534	boton_nombres2isoClick	MainForm	boton_nombres2iso	OnClick	gravacao	R1	
0x0040de18	boton_tex2isoClick	MainForm	boton_tex2iso	OnClick	gravacao	R1	
0x0040dfe8	boton_dialogo_texClick	MainForm	boton_dialogo_tex	OnClick	carga	R3	
0x0040e1a8	lista_equipos_2Change	MainForm	lista_equipos_2	OnChange	carga	R4	
0x0040e304	paderechaeizquierdaClick	MainForm	paderechaeizquierda	OnClick	edicao	R8	
0x0040e4b0	paizquierdaClick	MainForm	paizquierda	OnClick	edicao	R8	
0x0040e5e8	paderechaClick	MainForm	paderecha	OnClick	edicao	R8	
0x0040e720	paderecha2Click	MainForm	paderecha2	OnClick	edicao	R8	
0x0040e85c	paizquierda2Click	MainForm	paizquierda2	OnClick	edicao	R8	
0x0040e998	parribaClick	MainForm	parriba	OnClick	edicao	R8	
0x0040ecc0	pabajoClick	MainForm	pabajo	OnClick	edicao	R8	
0x0040ee80	grabar_camisetaClick	MainForm	grabar_camiseta	OnClick	gravacao	R1	
0x0040f69c	grabar_memoryClick	MainForm	grabar_memory	OnClick	gravacao	R1	
0x0040f8b8	lista_jugadores_1Change	MainForm	lista_jugadores_1	OnChange	carga	R4	
0x0040f8d4	mostrar_jugadorClick	MainForm	mostrar_jugador_1|mostrar_jugador_2	OnClick|OnClick	carga	R5	
0x00410220	mostrar_estrategiaClick	MainForm	mostrar_estrategia_2|mostrar_estrategia_1	OnClick|OnClick	carga	R5	
0x004107c8	FormCreate	MainForm	MainForm	OnCreate	carga	R2	
0x00410a74	dorsalClick	MainForm	dorsal1|dorsal2|dorsal3|dorsal4|dorsal5|dorsal6|dorsal7|dorsal8|dorsal9|dorsal10|dorsal11|dorsal12|dorsal13|dorsal14|dorsal15|dorsal16|dorsal17|dorsal18|dorsal19|dorsal20|dorsal21|dorsal22|dorsal23	OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick|OnClick	edicao	R8	
0x00410ddc	dorsalMouseDown	MainForm	dorsal1|dorsal2|dorsal3|dorsal4|dorsal5|dorsal6|dorsal7|dorsal8|dorsal9|dorsal10|dorsal11|dorsal12|dorsal13|dorsal14|dorsal15|dorsal16|dorsal17|dorsal18|dorsal19|dorsal20|dorsal21|dorsal22|dorsal23	OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown|OnMouseDown	edicao	R8	
0x00410ea8	colorearClick	MainForm	colorear	OnClick	edicao	R8	WTE-TASK-29
0x00410fa4	SpeedButton2Click	MainForm	SpeedButton2	OnClick	auxiliar	R7	
0x00410fc0	SpeedButton1Click	MainForm	SpeedButton1	OnClick	auxiliar	R7	
0x00410fd0	Image3Click	MainForm	Image3	OnClick	auxiliar	R7	
0x00410ff4	base_teamClick	MainForm	help_team|base_team	OnClick|OnClick	auxiliar	EX	
0x004111d8	FormShow	MainForm	MainForm	OnShow	carga	R2	
0x00420e84	FormCreate	ficha_info2	ficha_info2	OnCreate	carga	R2	
0x00420f08	SpeedButton1Click	ficha_error	SpeedButton1	OnClick	auxiliar	R7	
